kind,mean_k,gamma,strategy,w,beta,rho0,rho,stderr
fig5_scan,6,0.02,si3,0.2,0.35,0.5,0.16216216,0
fig5_scan,6,0.02,si3,0.4,0.35,0.5,0.072372372,0
fig5_scan,6,0.02,si3,0.6,0.35,0.5,0.074324324,0
fig5_scan,6,0.02,si3,0.8,0.35,0.5,0.018318318,0
fig5_wc,6,0.02,si3,0.8,0.35,0.5,,
fig5_scan,6,0.02,si3,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,si3,0.2,0.4,0.5,0.45615616,0
fig5_scan,6,0.02,si3,0.4,0.4,0.5,0.36411411,0
fig5_scan,6,0.02,si3,0.6,0.4,0.5,0.24534535,0
fig5_scan,6,0.02,si3,0.8,0.4,0.5,0.006006006,0
fig5_wc,6,0.02,si3,0.8,0.4,0.5,,
